event_id,event_name,event_date,speaker_hcp_id,specialty_focus,region,program_spend,target_ndc_category,venue_type,max_capacity,attendee_count
EVT-0156,Incretin-Based Therapy: Cardiometabolic Evidence - Arlington Advisory Roundtable,2024-11-24,1188411270,endocrinology,Southeast,30050,METABOLIC_GLP1_INJ,in-person,65,35
EVT-0157,Inhaled Maintenance Therapy in COPD & Asthma - Augusta Advisory Roundtable,2024-11-29,1101495749,pulmonology,Southeast,19440,PULM_ICS_LABA_INH,in-person,28,12
EVT-0158,Resistant Hypertension in Primary Care - Oklahoma City Peer-to-Peer Exchange,2024-11-30,1614682395,primary care,Southwest,7740,PC_ANTIHYPERTENSIVE,in-person,50,32
EVT-0159,Basal Insulin Optimization - San Diego Clinical Update Series,2024-12-03,1600621852,endocrinology,West,7750,ENDO_BASAL_INSULIN,virtual,117,20
EVT-0160,Basal Insulin Optimization - Stamford Clinical Update Series,2024-12-07,1338689064,endocrinology,Northeast,14170,ENDO_BASAL_INSULIN,in-person,39,13
EVT-0161,Resistant Hypertension in Primary Care - Las Vegas Speaker Program,2024-12-07,1154262954,primary care,Southwest,6190,PC_ANTIHYPERTENSIVE,virtual,103,37
EVT-0162,Inhaled Maintenance Therapy in COPD & Asthma - Mobile Speaker Program,2024-12-10,1394700250,pulmonology,Southeast,12330,PULM_ICS_LABA_INH,in-person,27,6
EVT-0163,Anticoagulation Across Comorbid Populations - Birmingham Peer-to-Peer Exchange,2024-12-13,1692444494,pulmonology,Southeast,16610,CV_ANTICOAG_ORAL,in-person,52,33
EVT-0164,Basal Insulin Optimization - Portland Advisory Roundtable,2024-12-15,1693072195,endocrinology,Northeast,46130,ENDO_BASAL_INSULIN,in-person,55,15
EVT-0165,Anticoagulation Across Comorbid Populations - Charleston Advisory Roundtable,2024-12-19,1083964134,endocrinology,Southeast,25630,CV_ANTICOAG_ORAL,virtual,101,46
EVT-0166,Targeted Oral Therapy in Advanced Disease - Lansing Advisory Roundtable,2024-12-31,1484037258,oncology,Midwest,7820,ONC_TARGETED_ORAL,virtual,96,6
EVT-0167,Anticoagulation Across Comorbid Populations - Green Bay Peer-to-Peer Exchange,2024-12-31,1080136264,primary care,Midwest,3980,CV_ANTICOAG_ORAL,virtual,101,53
EVT-0168,Incretin-Based Therapy: Cardiometabolic Evidence - Atlanta Regional Dinner Program,2025-01-01,1890080918,cardiology,Southeast,28800,METABOLIC_GLP1_INJ,in-person,59,39
EVT-0169,CGRP Pathway Inhibition in Migraine - Salt Lake City Advisory Roundtable,2025-01-06,1475314641,neurology,West,39290,NEURO_MIGRAINE_CGRP,in-person,31,10
EVT-0170,Oral JAK Inhibition in Inflammatory Arthritis - Lansing Advisory Roundtable,2025-01-07,1546587092,rheumatology,Midwest,6200,RHEUM_JAK_ORAL,virtual,135,15
EVT-0171,Inhaled Maintenance Therapy in COPD & Asthma - San Jose Advisory Roundtable,2025-01-10,1484162957,pulmonology,West,13790,PULM_ICS_LABA_INH,in-person,49,8
EVT-0172,Incretin-Based Therapy: Cardiometabolic Evidence - Indianapolis Speaker Program,2025-01-14,1897724641,primary care,Midwest,45440,METABOLIC_GLP1_INJ,in-person,38,34
EVT-0173,Incretin-Based Therapy: Cardiometabolic Evidence - Tacoma Speaker Program,2025-01-14,1518550110,neurology,West,9560,METABOLIC_GLP1_INJ,virtual,64,26
EVT-0174,Basal Insulin Optimization - Albany Speaker Program,2025-01-15,1436772218,endocrinology,Northeast,,ENDO_BASAL_INSULIN,in-person,39,13
EVT-0175,Anticoagulation Across Comorbid Populations - Springfield Regional Dinner Program,2025-01-20,1194241117,primary care,Northeast,3890,CV_ANTICOAG_ORAL,virtual,113,64
EVT-0176,Anticoagulation Across Comorbid Populations - Santa Fe Clinical Update Series,2025-01-23,1094685637,pulmonology,Southwest,17160,CV_ANTICOAG_ORAL,virtual,102,35
EVT-0177,Anticoagulation Across Comorbid Populations - Albuquerque Regional Dinner Program,2025-01-31,1078164070,oncology,Southwest,17030,CV_ANTICOAG_ORAL,in-person,61,34
EVT-0178,Incretin-Based Therapy: Cardiometabolic Evidence - Richmond Regional Dinner Program,2025-01-31,1362616959,neurology,Southeast,35150,METABOLIC_GLP1_INJ,in-person,55,31
EVT-0179,Resistant Hypertension in Primary Care - Minneapolis Clinical Update Series,2025-02-05,1590602128,primary care,Midwest,11760,PC_ANTIHYPERTENSIVE,in-person,46,27
EVT-0180,Targeted Oral Therapy in Advanced Disease - Tacoma Speaker Program,2025-02-06,1903865289,oncology,West,7220,ONC_TARGETED_ORAL,virtual,128,6
EVT-0181,Targeted Oral Therapy in Advanced Disease - Grand Rapids Regional Dinner Program,2025-02-07,1009335344,oncology,Midwest,5740,ONC_TARGETED_ORAL,virtual,81,9
EVT-0182,Anticoagulation Across Comorbid Populations - San Diego Advisory Roundtable,2025-02-14,1480117328,neurology,West,5570,CV_ANTICOAG_ORAL,virtual,103,43
EVT-0183,CGRP Pathway Inhibition in Migraine - Richmond Advisory Roundtable,2025-02-17,1468766963,neurology,Southeast,10100,NEURO_MIGRAINE_CGRP,in-person,65,11
EVT-0184,Oral JAK Inhibition in Inflammatory Arthritis - Detroit Advisory Roundtable,2025-02-17,1299294599,rheumatology,Midwest,3440,RHEUM_JAK_ORAL,virtual,104,13
EVT-0185,Guideline-Directed Therapy in Heart Failure - Colorado Springs Clinical Update Series,2025-02-20,1164091765,cardiology,West,22290,CARD_HF_ARNI,in-person,52,18
EVT-0186,Incretin-Based Therapy: Cardiometabolic Evidence - Seattle Case-Based Forum,2025-02-22,1712092349,oncology,West,26420,METABOLIC_GLP1_INJ,in-person,38,16
EVT-0187,Incretin-Based Therapy: Cardiometabolic Evidence - Greenville Peer-to-Peer Exchange,2025-02-24,1686810049,endocrinology,Southeast,13120,METABOLIC_GLP1_INJ,in-person,53,36
EVT-0188,Targeted Oral Therapy in Advanced Disease - Greenville Regional Dinner Program,2025-02-26,1693809661,oncology,Southeast,24980,ONC_TARGETED_ORAL,in-person,33,5
EVT-0189,Inhaled Maintenance Therapy in COPD & Asthma - Savannah Case-Based Forum,2025-02-27,1175085277,pulmonology,Southeast,25910,PULM_ICS_LABA_INH,in-person,50,15
EVT-0190,Basal Insulin Optimization - Newark Regional Dinner Program,2025-03-01,1630483653,endocrinology,Northeast,20530,ENDO_BASAL_INSULIN,in-person,36,14
EVT-0191,Resistant Hypertension in Primary Care - Cambridge Advisory Roundtable,2025-03-03,1481179806,primary care,Northeast,13610,PC_ANTIHYPERTENSIVE,in-person,51,34
EVT-0192,Guideline-Directed Therapy in Heart Failure - Albuquerque Regional Dinner Program,2025-03-04,1220405058,cardiology,Southwest,13120,CARD_HF_ARNI,in-person,44,17
EVT-0193,Incretin-Based Therapy: Cardiometabolic Evidence - Mobile Case-Based Forum,2025-03-07,1361512639,neurology,Southeast,15650,METABOLIC_GLP1_INJ,in-person,51,26
EVT-0194,CGRP Pathway Inhibition in Migraine - Madison Speaker Program,2025-03-13,1735062055,neurology,Midwest,,NEURO_MIGRAINE_CGRP,virtual,125,15
EVT-0195,Anticoagulation Across Comorbid Populations - Bangor Clinical Update Series,2025-03-19,1206870192,oncology,Northeast,5970,CV_ANTICOAG_ORAL,virtual,52,22
EVT-0196,Incretin-Based Therapy: Cardiometabolic Evidence - Albany Clinical Update Series,2025-03-22,1436772218,endocrinology,Northeast,21330,METABOLIC_GLP1_INJ,in-person,28,26
EVT-0197,Oral JAK Inhibition in Inflammatory Arthritis - Hershey Speaker Program,2025-03-23,1835339551,rheumatology,Northeast,23290,RHEUM_JAK_ORAL,in-person,60,10
EVT-0198,Anticoagulation Across Comorbid Populations - Salt Lake City Speaker Program,2025-03-24,1329851996,primary care,West,22360,CV_ANTICOAG_ORAL,in-person,26,26
EVT-0199,Guideline-Directed Therapy in Heart Failure - Pittsburgh Regional Dinner Program,2025-03-25,1291534000,cardiology,Northeast,31360,CARD_HF_ARNI,in-person,34,8
EVT-0200,Basal Insulin Optimization - Salt Lake City Peer-to-Peer Exchange,2025-03-29,1236438192,endocrinology,West,13770,ENDO_BASAL_INSULIN,in-person,37,11
